version,trials,decision_accuracy,record_accuracy,average_tool_calls,average_tool_return_tokens_per_call,average_input_tokens,average_output_tokens,average_total_tokens,total_estimated_cost_usd,tool_errors,repeated_calls,average_seconds,decision_accuracy_percent,record_accuracy_percent,guardrail_cases,guardrail_cases_passed
V1,60,0.483333,0.433333,5.816667,58.234957,15315.60,380.5,15696.10,0.101027,0,0,5.931383,48.3,43.3,5,5
V2,60,0.616667,0.550000,5.633333,58.452663,15243.55,399.2,15642.75,0.101044,0,1,6.482250,61.7,55.0,5,5
